phrase,meaning,example
Put something down,"To write something on paper, or insult someone.",Please put your name down on the list.
Put something together,To assemble or arrange.,We put together a team for the competition.
Put up with,To tolerate or endure something unpleasant.,She put up with noisy neighbors for years.
Rip off,To cheat someone financially.,Tourists often get ripped off when buying souvenirs.
Rule out,To eliminate as a possibility.,The doctor ruled out food poisoning after examining him.
Run across,To find or meet by chance.,I ran across an old friend at the grocery store.
Run over,To hit someone or something with a vehicle.,The car ran over a pothole and damaged its tire.
See eye to eye,To agree completely.,My parents don’t always see eye to eye on politics.
Shake something off,"To recover or get rid of something, especially illness or emotions.",I’m trying to shake off this cold before the weekend.
Show up,"To arrive, especially late or unexpectedly.",He showed up at the meeting uninvited.
Shut someone down,"To stop someone from continuing, usually conversation or work.",The moderator shut him down when he went off topic.
Single someone out,To select one person from a group for special attention.,The teacher singled out Jane for her hard work.
Sit back,To relax and not get involved.,Just sit back and enjoy the movie.
Sit tight,To wait patiently and not take action yet.,The boss said to sit tight until he gets back to us.
Slip one’s mind,To forget something.,My appointment slipped my mind and I missed it entirely.
Sort out,To resolve a problem or organize things.,We need to sort out our finances before the trip.
Spill the beans,To reveal a secret.,He accidentally spilled the beans about the surprise party.
Stand out,To be noticeable or distinctive.,Her bright dress helped her stand out in the crowd.
Stand up for,To defend or support someone or something.,He stood up for his colleague during the meeting.
Step down,To resign from a position.,The CEO decided to step down after ten years.
Stick to,To keep doing something without changing.,"He sticks to his routine, even on weekends."
Stick out,To be noticeable or protrude.,That tower really sticks out among the other buildings.
Take after,To resemble a family member in looks or behavior.,She takes after her mother’s kindness.
Take off,To suddenly become successful or leave the ground.,The business took off quickly after launching online.
Talk over,To discuss thoroughly.,Let’s talk it over before making a decision.
Tear something up,To destroy by ripping into pieces.,She tore up the old photos.
Think ahead,To plan for the future.,It’s important to think ahead when managing your finances.
Throw in the towel,To give up or surrender.,"After many attempts, he finally threw in the towel."
Touch down,"To land, especially of airplanes.",The plane touched down safely in heavy rain.
Turn something around,To change something for the better.,The new manager turned the company around in a year.
Turn down,To refuse or reject.,I turned down the offer because it wasn’t right for me.
Wait on someone,"To serve, especially in a restaurant.",The waiter waited on us promptly.
Wear off,To gradually disappear or diminish.,The painkiller’s effect wore off after a few hours.
Work out,To resolve a problem or exercise.,We finally worked out a solution everyone agreed with.
Write something off,To cancel a debt or consider something a loss.,The company wrote off the old equipment.
Zero in on,To focus closely and target something.,The scientists zeroed in on the cause of the outbreak.
Zone out,To stop paying attention or lose focus.,I zoned out during the long lecture.
Get cold feet,To suddenly become fearful about something planned.,He got cold feet right before his wedding.
Take a rain check,To decline now but suggest maybe later.,"I can’t go tonight, but I’d like to take a rain check."
Let the cat out of the bag,To accidentally reveal a secret.,She let the cat out of the bag about his promotion.
Pass something up,"To decline or refuse something, usually something good.",I passed up the job offer because I wasn’t ready to move cities.
Pay somebody back,To return money that you owe.,I’ll pay you back for the coffee tomorrow.
Pay for something,To be punished or suffer consequences for something bad.,He’ll pay for his mistakes sooner or later.
Pick something out,To choose or select from a group.,She picked out a dress for the party.
Point somebody/something out,To indicate with your finger or words.,The teacher pointed out the error in my essay.
Pull something off,To succeed in doing something difficult.,He pulled off a surprise party without her suspecting a thing.
Put something down,"To write something on paper, or insult someone.",Please put your name down on the list.
Put something together,To assemble or arrange.,We put together a team for the competition.
Put up with,To tolerate or endure something unpleasant.,She put up with noisy neighbors for years.
Rip off,To cheat someone financially.,Tourists often get ripped off when buying souvenirs.
Rule out,To eliminate as a possibility.,The doctor ruled out food poisoning after examining him.
Run across,To find or meet by chance.,I ran across an old friend at the grocery store.
Run over,To hit someone or something with a vehicle.,The car ran over a pothole and damaged its tire.
See eye to eye,To agree completely.,My parents don’t always see eye to eye on politics.
Shake something off,"To recover or get rid of something, especially illness or emotions.",I’m trying to shake off this cold before the weekend.
Show up,"To arrive, especially late or unexpectedly.",He showed up at the meeting uninvited.
Shut someone down,"To stop someone from continuing, usually conversation or work.",The moderator shut him down when he went off topic.
Single someone out,To select one person from a group for special attention.,The teacher singled out Jane for her hard work.
Sit back,To relax and not get involved.,Just sit back and enjoy the movie.
Sit tight,To wait patiently and not take action yet.,The boss said to sit tight until he gets back to us.
Slip one’s mind,To forget something.,My appointment slipped my mind and I missed it entirely.
Sort out,To resolve a problem or organize things.,We need to sort out our finances before the trip.
Spill the beans,To reveal a secret.,He accidentally spilled the beans about the surprise party.
Stand out,To be noticeable or distinctive.,Her bright dress helped her stand out in the crowd.
Stand up for,To defend or support someone or something.,He stood up for his colleague during the meeting.
Step down,To resign from a position.,The CEO decided to step down after ten years.
Stick to,To keep doing something without changing.,"He sticks to his routine, even on weekends."
Stick out,To be noticeable or protrude.,That tower really sticks out among the other buildings.
Take after,To resemble a family member in looks or behavior.,She takes after her mother’s kindness.
Take off,To suddenly become successful or leave the ground.,The business took off quickly after launching online.
Talk over,To discuss thoroughly.,Let’s talk it over before making a decision.
Tear something up,To destroy by ripping into pieces.,She tore up the old photos.
Think ahead,To plan for the future.,It’s important to think ahead when managing your finances.
Throw in the towel,To give up or surrender.,"After many attempts, he finally threw in the towel."
Touch down,"To land, especially of airplanes.",The plane touched down safely in heavy rain.
Turn something around,To change something for the better.,The new manager turned the company around in a year.
Turn down,To refuse or reject.,I turned down the offer because it wasn’t right for me.
Wait on someone,"To serve, especially in a restaurant.",The waiter waited on us promptly.
Wear off,To gradually disappear or diminish.,The painkiller’s effect wore off after a few hours.
Work out,To resolve a problem or exercise.,We finally worked out a solution everyone agreed with.
Write something off,To cancel a debt or consider something a loss.,The company wrote off the old equipment.
Zero in on,To focus closely and target something.,The scientists zeroed in on the cause of the outbreak.
Zone out,To stop paying attention or lose focus.,I zoned out during the long lecture.
Get cold feet,To suddenly become fearful about something planned.,He got cold feet right before his wedding.
Take a rain check,To decline now but suggest maybe later.,"I can’t go tonight, but I’d like to take a rain check."
Let the cat out of the bag,To accidentally reveal a secret.,She let the cat out of the bag about his promotion.
Make ends meet,To have enough money to cover your basic expenses.,Many families struggle to make ends meet these days.
Go the extra mile,To do more than what is expected.,She always goes the extra mile to help her students.
Barking up the wrong tree,To make a wrong assumption or pursue a mistaken or misguided course of action.,"If you think I broke the vase, you’re barking up the wrong tree."
Burn the midnight oil,To work late into the night.,He was burning the midnight oil before his big exam.
Hit the nail on the head,To describe exactly what is causing a situation or problem.,"When she mentioned the budget, she really hit the nail on the head."
Let the chips fall where they may,"To let something happen, no matter what the consequences are.",Tell the truth and let the chips fall where they may.
Pull someone’s leg,To tease or joke with someone.,Don’t believe him—he’s just pulling your leg.
Under someone’s thumb,Under someone’s control or influence.,He’s completely under his boss’s thumb.
Throw caution to the wind,To take a risk or act recklessly.,She decided to throw caution to the wind and buy the expensive dress.
Put all your eggs in one basket,To risk everything on a single venture.,Investing all your savings in one stock is putting all your eggs in one basket.
Bite the bullet,To do something very difficult or unpleasant that you have been putting off.,She decided to bite the bullet and take the difficult exam.
Cut to the chase,To get to the point without wasting time.,Let’s cut to the chase and discuss what really matters.
Take with a grain of salt,To not take something too seriously.,Take everything he says with a grain of salt.
Up in arms,To be very angry about something.,Residents are up in arms about the new parking rules.
Take the plunge,To do something difficult or risky after thinking about it.,"After years of planning, they finally took the plunge and opened a restaurant."
Go back to the drawing board,To start over with a new plan after a failure.,"The project failed, so it’s back to the drawing board."
Leave no stone unturned,To do everything possible to find something or solve a problem.,She left no stone unturned in the search for her lost dog.
Keep an ear to the ground,To pay attention to what is happening or being said.,Journalists keep an ear to the ground for breaking news.
On the fence,Unable to decide about something.,I’m still on the fence about moving abroad.
Beat around the bush,To avoid talking about the main topic.,Stop beating around the bush and tell me what happened.
Out of the blue,Something happening unexpectedly.,He showed up out of the blue with flowers.
In hot water,In trouble or difficulty.,He was in hot water for missing the meeting.
Off the cuff,"Without preparation, spontaneous.",She made a speech off the cuff.
The ball is in your court,It’s your decision or responsibility to take action.,I’ve done my part—the ball is in your court now.
Know the ropes,"To understand the details of how to do something, especially a job.",It took me a month to know the ropes at my new job.
Not playing with a full deck,Someone who isn’t mentally sound or is acting strangely.,"After that strange comment, I think he’s not playing with a full deck."
Open a can of worms,To create new complications while trying to solve a problem.,Mentioning politics opened a can of worms at the dinner table.
Down in the dumps,Feeling sad or depressed.,She’s down in the dumps after her breakup.
A blessing in disguise,Something that seems bad at first but results in something good.,Losing that job was a blessing in disguise.
Cry over spilled milk,To be upset about something that has already happened and cannot be changed.,There’s no use crying over spilled milk.
Spill the beans,To reveal a secret.,He spilled the beans about the surprise party.
Miss the boat,To miss an opportunity.,He missed the boat on investing in the company early.
Blow off steam,To get rid of strong feelings by doing something active.,"After work, she goes running to blow off steam."
Kick the bucket,To die.,The old landlord finally kicked the bucket.
Throw in the towel,To give up on something.,"After several failed attempts, he threw in the towel."
Steal one’s thunder,To take the credit for something someone else did.,He stole my thunder by announcing the project first.
Kill two birds with one stone,To accomplish two things at once.,"By going to the grocery store on the way home, I killed two birds with one stone."
Add fuel to the fire,To make a bad situation worse.,His comments just added fuel to the fire.
On cloud nine,Extremely happy.,She was on cloud nine after getting promoted.
The elephant in the room,A major issue that everyone’s avoiding.,Discussing his job loss was the elephant in the room.
Call it a day,To stop working for the day.,"After fixing the leak, they called it a day."
The last straw,The final problem that makes a situation unbearable.,His rude comment was the last straw.
Get out of hand,To become out of control.,The party got out of hand very quickly.
In the dark,Not knowing about something important.,I was kept in the dark about the meeting.
In a pickle,In a difficult or problematic situation.,I’m in a pickle because I forgot my keys.
The tip of the iceberg,"A small, visible part of a much larger problem.",These complaints are just the tip of the iceberg.
Ring a bell,To sound or seem familiar.,"That name rings a bell, but I can’t remember where I heard it."
On the ball,To be alert and ready.,Good job on catching that error—you’re really on the ball.
Keep your chin up,To stay positive in a difficult situation.,"Times are tough, but keep your chin up."
Make ends meet,To earn just enough money to live on.,"After the pay cut, it was hard to make ends meet."
Go the extra mile,To do more than what is required.,She went the extra mile to help her coworker finish the project.
Barking up the wrong tree,To be mistaken about the cause or person responsible.,"If you think I took your phone, you’re barking up the wrong tree."
Burn the midnight oil,To work late into the night.,I had to burn the midnight oil to finish the report on time.
Hit the nail on the head,To describe exactly what is right or true.,"When you said the issue was communication, you really hit the nail on the head."
Let the chips fall where they may,To accept whatever consequences happen.,I’m telling the truth—let the chips fall where they may.
Pull someone’s leg,To tease or joke with someone.,I was just pulling your leg—I didn’t really lose your keys.
Under someone’s thumb,Completely controlled by another person.,"Ever since the merger, the team has been under the CEO’s thumb."
Throw caution to the wind,To act recklessly or take a big risk.,She threw caution to the wind and booked a one-way ticket to Paris.
Put all your eggs in one basket,To risk everything on a single opportunity.,Investing your entire savings in one startup is like putting all your eggs in one basket.
Bite the bullet,To face a painful or difficult situation bravely.,It’s time to bite the bullet and tell him the truth.
Cut to the chase,To get to the point without delay.,We don’t have much time—let’s cut to the chase.
Take with a grain of salt,To not fully believe or accept something.,You should take his advice with a grain of salt—he’s not an expert.
Up in arms,Angry and protesting about something.,The community was up in arms over the new construction plans.
Take the plunge,To finally do something after much hesitation.,"After months of thinking, they took the plunge and bought a house."
Go back to the drawing board,To start over after a failed attempt.,"The design didn’t work, so we went back to the drawing board."
Leave no stone unturned,To do everything possible to achieve something.,The detective left no stone unturned in solving the case.
Keep an ear to the ground,To stay alert for new information or developments.,Investors keep an ear to the ground for market changes.
On the fence,Undecided about something.,I’m still on the fence about accepting the job offer.
Beat around the bush,To avoid speaking directly about something.,Stop beating around the bush and tell me what you really think.
Out of the blue,Completely unexpectedly.,"Out of the blue, she called and invited me to dinner."
In hot water,In trouble or difficulty.,He’s in hot water for submitting the report late.
Off the cuff,Without preparation; spontaneously.,His off-the-cuff remarks made the audience laugh.
Know the ropes,"To understand how something works, especially a job.","After a week of training, she knew the ropes."
Not playing with a full deck,Lacking intelligence or acting irrationally.,Anyone who believes that story isn’t playing with a full deck.
Open a can of worms,To create a complicated problem by trying to fix another.,Asking about the budget opened a can of worms.
Down in the dumps,Feeling sad or depressed.,He’s been down in the dumps since his dog passed away.
A blessing in disguise,Something bad that leads to a good outcome.,Losing that job was a blessing in disguise—I found a better one.
Cry over spilled milk,To be upset about something that can’t be changed.,There’s no point crying over spilled milk—let’s fix the problem.
Miss the boat,To miss an opportunity.,"If you don’t apply now, you’ll miss the boat."
Blow off steam,To release built-up energy or frustration.,"After the argument, he went for a run to blow off steam."
Kick the bucket,To die.,My grandfather kicked the bucket last winter.
Steal one’s thunder,To take credit for someone else’s idea.,She stole my thunder by presenting my idea in the meeting.
Kill two birds with one stone,To accomplish two goals with one action.,Walking to work lets me exercise and save money—killing two birds with one stone.
Add fuel to the fire,To make a bad situation worse.,His sarcastic comment only added fuel to the fire.
On cloud nine,Extremely happy.,She’s been on cloud nine since she got engaged.
The elephant in the room,An obvious problem no one wants to discuss.,The company’s declining profits are the elephant in the room.
Call it a day,To stop working for the day.,We’ve done enough—let’s call it a day.
The last straw,The final problem that makes a situation unbearable.,"When the car broke down again, it was the last straw."
Get out of hand,To become uncontrolled or chaotic.,The party got out of hand when too many people showed up.
In the dark,Uninformed about something important.,I was kept in the dark about the layoffs until the last minute.
In a pickle,In a difficult or tricky situation.,I’m in a pickle because I lost my passport before the trip.
The tip of the iceberg,A small sign of a much larger problem.,This error is just the tip of the iceberg—there are more issues.
Ring a bell,To sound familiar.,"That song rings a bell, but I can’t remember the title."
On the ball,"Alert, competent, and efficient.",You’re really on the ball—great job catching that mistake.
Keep your chin up,To stay positive despite difficulties.,"I know it’s tough, but"
Behind the scenes,"In private, not in public view or knowledge.",He worked behind the scenes to support the team’s project.
Hit below the belt,To act unfairly or use unfair tactics in an argument or contest.,Her comments about his family hit below the belt.
Bite the dust,To be defeated or to die.,Many brave soldiers bit the dust during the war.
A wet blanket,Someone who discourages enjoyment or enthusiasm.,Don’t be such a wet blanket—join us on the dance floor!
In cold blood,Deliberately and without emotion.,The crime was committed in cold blood.
A blue stocking,An intellectual woman or one devoted to scholarly pursuits.,She’s known as a blue stocking for her love of literature.
At first blush,At the first sight or glance.,"At first blush, the offer looked appealing."
A bolt from the blue,Something completely unexpected.,His resignation was a bolt from the blue.
One’s bread and butter,One’s means of livelihood.,Writing is his bread and butter.
To breathe one’s last,To die.,The old king breathed his last peacefully.
Make bricks without straw,To attempt something without the necessary resources.,We’re making bricks without straw if we try this without funding.
Good wine needs no bush,Quality speaks for itself and needs no advertisement.,Her reputation is enough—good wine needs no bush.
Burn the candle at both ends,To exhaust oneself by doing too many things.,She’s burning the candle at both ends studying and working.
"If the cap fits, wear it","If an accusation fits, accept it.","I wasn’t blaming anyone, but if the cap fits, wear it."
Care killed the cat,Excessive worry is harmful.,Don’t stress too much—care killed the cat.
Catch someone’s eye,To attract attention.,The painting caught everyone’s eye at the exhibit.
Take the chair,To preside over a meeting.,Our professor took the chair at the conference.
She is no chicken,She is older than she appears or claims.,She is no chicken; she has plenty of experience.
Pick and choose,To select carefully from among options.,You can’t always pick and choose your assignments.
Square the circle,To attempt the impossible.,Trying to meet all those demands is like squaring the circle.
Every cloud has a silver lining,Every difficult situation has some hope or good aspect.,"Losing the job hurt, but every cloud has a silver lining."
Close-fisted,Stingy or not generous.,"He’s close-fisted with his money, never treating anyone."
Cut your cloth according to your coat,To live within your means.,We’ll have to cut our cloth according to our coat this year.
A cock and bull story,A wildly unbelievable story.,His excuse was a cock and bull story about aliens.
Cock sure,Completely certain or confident.,He’s cock sure he’ll win the contest.
Throw cold water on something,To discourage or reduce enthusiasm.,The expert threw cold water on our plan.
Off color,"Not in the usual or healthy form, or slightly inappropriate.",He’s feeling off color and won’t come to work.
Commit to memory,To memorize.,Commit this poem to memory for tomorrow’s class.
Too many cooks spoil the broth,Too many people involved causes problems.,"When everyone tries to direct, too many cooks spoil the broth."
Crocodile tears,"False expressions of emotion, usually sympathy.",Don’t believe her crocodile tears—she doesn’t care.
By hook or by crook,By any means necessary.,He’ll finish the task by hook or by crook.
Cut and dried,"Simple, clear, and ready-made.",The solution is cut and dried; no further debate needed.
Up to date,Recent or current.,Their knowledge is always up to date.
Evil days,A period of misfortune or bad times.,The family fell on evil days after the business failed.
Halcyon days,Times of peace and happiness.,Their childhood was full of halcyon days.
Step into dead man’s shoes,"To inherit or take someone’s place, often after their death.",He stepped into dead man’s shoes as the company’s CEO.
Go to the devil,To tell someone to leave angrily or go away.,He was rude so I told him to go to the devil.
Devil’s bones,"Dice, used in gambling.",They played with the devil’s bones all night.
Devil’s playthings,"Playing cards, often disapproved of.",Some elders think poker is the devil’s playthings.
Give a dog a bad name and hang him,Someone with a bad reputation is easily blamed.,He was wrongly accused—give a dog a bad name and hang him.
Every dog has his day,Everyone will have success or fair chance eventually.,Don’t worry—every dog has his day.
Throw dust in someone’s eyes,To mislead or deceive.,The magician threw dust in the audience’s eyes.
A white elephant,A costly and useless possession.,The stadium turned out to be a white elephant for the city.
Set the Thames on fire,To do something remarkable or sensational.,She set the Thames on fire with her performance.
A burnt child dreads the fire,Past bad experiences make one cautious.,He won’t drive fast again—a burnt child dreads the fire.
A fish out of water,Feeling uncomfortable or out of place.,"As an introvert at the party, I felt like a fish out of water."
Elbow grease,Hard physical effort in cleaning or fixing something.,The kitchen was spotless after a lot of elbow grease.
As cool as a cucumber,"Very calm and relaxed, especially under pressure.",He was as cool as a cucumber during the speech.
Face the music,To accept the unpleasant consequences of your actions.,He had to face the music after breaking the rules.
Caught red-handed,Discovered in the act of committing a crime or misdeed.,The student was caught red-handed cheating on the test.
Cry wolf,"To give a false alarm, repeatedly ask for help when none is needed.","If you cry wolf too often, people won’t believe you in an emergency."
Flogging a dead horse,Wasting time on a futile effort.,Trying to convince him is like flogging a dead horse.
Go against the grain,To do something contrary to one's nature or the norm.,Speaking in public goes against the grain for her.
