rule,explanation,example
Use of Zero Conditional,Express general truths using present simple in both clauses.,"If you heat water, it boils."
Use of First Conditional,Express real future possibilities using present simple and 'will'.,"If it rains, we will cancel the trip."
Use of Second Conditional,Express hypothetical present/future situations using past simple and 'would'.,"If I were rich, I would travel."
Use of Third Conditional,Express hypothetical past situations using past perfect and 'would have'.,"If she had studied, she would have passed."
Use of Mixed Conditionals,Combine times in different clauses for complex hypotheticals.,"If I had studied, I would be successful now."
Use of Articles with Abstract Nouns,"Often omit articles with abstract nouns, but use 'the' if specified.",Freedom is important. The freedom I value most.
Use of Present Perfect with 'For' and 'Since',Use for duration of ongoing actions.,She has lived here for five years.
Use of Adjectives Ending in -ed and -ing,"-ed' for feelings, '-ing' for causes.",I am bored. The movie is boring.
Use of Conditional Sentences with Modal Verbs,Use modals in conditionals to express possibility or advice.,"If you should need help, call me."
Use of Reported Questions,Change question form in indirect speech.,He asked where I lived.
Use of Relative Pronouns 'Whose',Show possession in relative clauses.,The man whose car was stolen is upset.
Use of Elliptical Clauses,Omit words common to both parts of a sentence.,"She likes tea; he, coffee."
Use of Past Perfect,Describe actions completed before another past action.,She had left when he arrived.
Use of Present Perfect for Repeated Actions,Describe repeated actions up to now.,I have visited that museum several times.
Use of Compound Sentences,Combine two independent clauses with coordinating conjunctions.,"She sings, and he plays guitar."
Use of Complex Sentences,Use subordinating conjunctions to connect dependent clauses.,I stayed home because it was raining.
Use of Appositive Clauses,Provide essential or additional information with nouns.,"The city, which is very old, attracts tourists."
Use of Indirect Questions,Polite form of asking questions indirectly.,Can you tell me where the station is?
Use of Comparative and Superlative Adverbs Formed with 'More' and 'Most',Use with longer adverbs or two-syllable adverbs.,She works more efficiently than him. He speaks most clearly.
Use of Subjunctive Mood,"Express wishes, demands, or hypotheticals using base verb forms.",I suggest that he be present.
Use of Object Pronouns,Use after verbs or prepositions as objects.,Give it to me.
Use of Subject Pronouns,Use as the subject of a sentence or clause.,She is coming tomorrow.
Use of Possessive Apostrophes for Plurals,Add apostrophe after 's' for plural possession.,The dogs' owner is kind.
Use of Clauses of Reason,"Use 'because,' 'since,' or 'as' to indicate reason.",I stayed home because I was tired.
Use of Clauses of Purpose,Use 'so that' to indicate purpose.,He studies so that he can pass.
Use of Clauses of Contrast,"Use 'although,' 'though,' or 'even though' to show contrast.","Although it was cold, we went out."
Use of Present Simple Passive,Focus on the action receiver in routines.,The letters are delivered every morning.
Use of Questions with 'Do',Use 'do' or 'does' to form questions in present simple.,Do you like coffee?
Use of Indefinite Pronouns as Subjects,"Use pronouns like 'someone,' 'everyone' as subjects.",Everyone is invited.
Use of Adverbs of Frequency,Show how often actions happen.,She always arrives early.
Use of Demonstrative Adjectives,Modify nouns by pointing out specific ones.,This book is mine.
Use of Possessive Adjectives,Show ownership before nouns.,His car is new.
Use of Future Perfect,Use to describe actions completed before a specified future time.,"By 2026, I will have graduated."
Use of Future Perfect Continuous,Express duration of future actions up to a point.,"By noon, she will have been working for three hours."
Use of Comparatives with 'As...As',Show equality using comparatives.,He is as tall as his brother.
Use of 'Used to' for Past Habits,Express past habits no longer true.,I used to play football.
Use of 'Be Going To' for Plans,Express intentions or plans in the near future.,I am going to start a new job.
Use of Defining and Non-defining Relative Clauses,"Defining clauses are essential, non-defining give extra info with commas.","The man who is talking is a teacher. My brother, who lives abroad, is visiting."
Use of Capitalization for Nationalities and Languages,Capitalize names of nationalities and languages.,She is French and speaks English.
Use of Reflexive Pronouns as Emphasis,Use reflexive pronouns for emphasis.,I did it myself.
Use of Conditional Sentences with 'Unless',Unless' means 'if not'.,I won't go unless you come too.
Use of Modals for Advice and Obligation,"Should' for advice, 'must' for obligation.",You should see a doctor. You must wear a seatbelt.
Use of Verbs Followed by Infinitives,Certain verbs are followed by the infinitive form.,I want to learn.
Use of Verbs Followed by Gerunds,Certain verbs are followed by the gerund.,She enjoys swimming.
Use of Past Simple vs Past Continuous,"Past simple for finished actions, past continuous for ongoing past actions.",I watched TV. I was watching TV when she called.
Use of Adverbs Modifying Adjectives,Place adverbs before adjectives.,She is very tall.
Use of Adverbs Modifying Verbs,Place adverbs before or after verbs depending on meaning.,He quickly ran home.
Use of Comparative Forms with 'Less',Use 'less' to show smaller degree.,She is less tired today.
Use of Superlative Forms with 'Least',Use 'least' to show smallest degree.,He is the least experienced player.
Use of Double Object Construction,Use verbs with two objects (direct and indirect).,She gave me a gift.
Use of Emphatic Structures,Use 'do' to add emphasis in present and past simple.,I do like chocolate.
Use of Conjunctive Adverbs,Conjunctive adverbs link clauses and show relationships like contrast or cause.,"She was late; however, she still got the job."
Use of Non-count Nouns with Quantifiers,"Use quantifiers like 'some', 'much', and 'a little' with uncountable nouns.",I need some water.
Use of Count Nouns with Quantifiers,"Use quantifiers like 'many', 'a few', and 'several' with countable nouns.",She has many friends.
Use of Comparative Adjectives with 'Than',Use 'than' to compare two entities.,This test is harder than the last one.
Use of Passive Voice in Different Tenses,Passive voice can be formed in various tenses by combining to be + past participle.,The work was being done when I arrived.
Use of Gerunds as Objects of Prepositions,Gerunds can follow prepositions to act as objects.,She is good at swimming.
Use of Infinitives to Express Purpose,Infinitives are often used to express the purpose of an action.,She studies to improve her skills.
Use of Relative Adverbs,"Relative adverbs like 'where', 'when', and 'why' introduce relative clauses.",That's the house where I grew up.
Use of Subject Complement,A subject complement follows a linking verb and describes the subject.,She is a teacher.
Use of Object Complement,An object complement follows and modifies the direct object.,They elected him president.
Use of Subjunctive for Wishes,Use subjunctive mood to express wishes about present or future situations.,I wish it were sunny today.
Use of 'Either...or' and 'Neither...nor',Use these correlative conjunctions to connect two alternatives.,Either you come now or never.
Use of Future in the Past,Use 'would' or 'was going to' to talk about future from a past point.,He said he would help.
Use of Absolute Construction,"Phrases that modify the whole sentence, often set off by commas.","Weather permitting, we'll go hiking."
Use of Compound-Complex Sentences,Sentences containing at least two independent clauses and one or more dependent clauses.,"Although it was raining, I went out and I bought food."
Use of Inversion after Negative Adverbs,Invert auxiliary and subject after negative adverbs for emphasis.,Never have I seen such beauty.
Use of Elliptical Comparisons,Omit repeated words for brevity in comparison.,She plays the guitar better than I (play the guitar).
Use of Modal Verbs to Express Deduction,"Use modals like 'must', 'might', or 'can't' for logical conclusions.",She must be at home now.
Use of Conditional Clauses with 'If Only',Express wishes or regrets with 'if only'.,If only I had more time.
Use of Correlative Conjunctions,Pairs of conjunctions to connect equal sentence elements.,Both the teacher and the students were happy.
Use of Tag Questions with Imperatives,Tag questions added to commands for politeness.,"Close the door, will you?"
Use of Reported Commands,Use 'to' + infinitive after verbs of telling in reported speech.,He told me to leave.
Use of Noun Clauses as Subjects,Entire clauses functioning as the subject of a sentence.,What he said surprised me.
Use of Present Perfect Passive,Use present perfect tense in passive voice to describe completed actions.,The project has been finished.
Use of Comparative Structures with 'Less...Than',Use to show lesser degree in comparisons.,She is less confident than her sister.
Use of Future Perfect Passive,Describe future actions completed by a specific time in passive voice.,The work will have been completed by then.
Use of Modal Verbs for Probability,Use modals to indicate degrees of certainty.,She may come to the party.
Use of 'So' and 'Such' for Emphasis,So' modifies adjectives/adverbs; 'Such' modifies nouns.,She is so kind. He is such a nice person.
Use of Reported Statements in Present,Use present tense verbs for reporting present facts.,She says she likes it.
Use of Article Omission with Plural Nouns,No article used with plural nouns when speaking generally.,Dogs are loyal animals.
Use of Past Perfect Passive,Use past perfect in passive voice to describe earlier completed actions.,The letter had been sent before he arrived.
Use of Clauses of Result,Use 'so...that' to express result of an action.,He was so tired that he slept immediately.
Use of Discourse Markers,Words that organize or manage discourse flow.,"Well, let's begin the meeting."
Use of Object Pronouns in Comparisons,Include object pronouns after 'than' or 'as'.,She is taller than me.
Use of Articles with Institutions,"Use 'the' with institutions referring to buildings, omit with concepts.",He is in the university. / She values education.
Use of Passive with Get,"Get' can replace 'be' in passive, often in informal contexts.",He got injured in the accident.
Use of Conditional Sentences with 'Suppose',Use 'suppose' to introduce hypothetical conditions.,"Suppose you won the lottery, what would you do?"
Use of Compound Modifiers,Hyphenate two or more words modifying a noun together.,He is a well-known actor.
Use of Correlative Pairs with Negation,Use correlative conjunctions in negative contexts.,Neither the manager nor the employees were present.
Use of Present Simple for Scheduled Events,Use present simple tense to talk about scheduled future events.,The train leaves at 8 p.m.
Use of Indirect Objects,Identify the recipient in a sentence often placed before direct object.,She gave him a gift.
Use of Emphatic 'Do' in Questions and Negatives,Use 'do' for emphasis or in interrogative and negative sentences.,Do you like it? I do not agree.
Use of Imperatives for Instructions,Give commands or requests directly using base verbs.,Please close the window.
Use of Frequentative Verbs,Verbs indicating repeated actions formed by reduplication or suffixes.,He is always nagging.
Use of Present Perfect Continuous Passive,"To express an ongoing action that started in the past and is still continuing, in passive form.",The building has been being renovated for months.
Use of Clauses of Concession,"Use 'although', 'even though', or 'though' to show contrast despite expectations.","Although it was cold, we went swimming."
Use of 'So that' for Purpose,Used to explain the purpose or reason for an action.,She left early so that she wouldn't miss the train.
Use of Future in the Past Continuous,Describes an action that was expected to be in progress in the future from a past perspective.,He said he would be traveling tomorrow.
Use of Causative Form,Express when someone causes another person to do something.,I had my car washed yesterday.
Use of '-ing' Forms as Adjectives,Verbs ending in -ing can be used as adjectives to describe nouns.,It was an exciting game.
Use of Past Perfect Continuous,Show an action that was ongoing up to a certain point in the past.,They had been waiting for hours when the bus arrived.
Use of 'Would Like' for Polite Requests,Used for expressing wishes politely.,I would like a cup of tea.
Use of Negative Commands,Form commands telling someone not to do something.,Don't touch that!
Use of 'Neither' for Agreement,Use 'neither' to agree with a negative statement.,I don't like spinach. Neither do I.
Use of Inversion with 'Had',Use inversion in conditional sentences with 'had' for emphasis or formality.,"Had I known, I would have come earlier."
Use of Relative Clauses with 'That' and 'Who',That' is used for things and people; 'Who' only for people.,The person who called is my friend. The book that you lent me is great.
Use of 'By the time' in Time Clauses,Used to indicate an event completed before another event.,"By the time you arrive, we will have finished."
Use of Splitting Infinitives,Placing an adverb between 'to' and the verb in infinitive forms.,She wants to quickly finish her homework.
Use of 'As if' and 'As though',To describe a situation that seems unreal or imaginary.,He talks as if he knows everything.
Use of Formal Passive,Formal writing commonly uses passive structures to focus on the action.,The report was submitted on time.
Use of Relative Clauses with Prepositions,Moving prepositions to the end of relative clauses in informal style.,The house that I live in is old.
Use of Interrogative Pronouns,"Pronouns used to ask questions like 'what', 'which', 'who'.",Who is at the door?
Use of Nominalization,Turning verbs or adjectives into nouns to make sentences more formal.,The government's refusal surprised everyone.
Use of Clause Linkers,"Words like 'however', 'therefore' to connect ideas between clauses.","It rained; therefore, the game was canceled."
Use of Negative Inversion,Inversion of subject and auxiliary verb after negative adverbs for emphasis.,Never have I seen such courage.
Use of Participle Clauses,Used to reduce subordinate clauses for conciseness.,"Having finished the work, he went home."
Use of Comparative of Equality,Use 'as...as' to show equality between two elements.,She is as tall as her brother.
Use of the Passive with 'Get',Informal passive form often uses 'get' instead of 'be'.,He got promoted last week.
Use of 'Each Other' and 'One Another',Reciprocal pronouns used to show mutual action.,They help each other with homework.
Use of Linking Words for Contrast,"Words like 'but', 'yet', 'however' show contrast between ideas.",She is tired but happy.
Use of Zero Conditional for Facts,Express situations which are always true.,"If you heat ice, it melts."
Use of 'Enough' with Adjectives and Nouns,Enough' follows adjectives or precedes nouns to indicate sufficiency.,She is tall enough to reach. He has enough money.
Use of Reflexive Pronouns for Emphasis,Use reflexive pronouns to emphasize the subject of the sentence.,I made it myself.
Use of Redundancy Avoidance,Avoid using unnecessary repeated words.,He returned back home. (Incorrect).
Use of Direct and Indirect Objects,Differentiate between direct and indirect objects in sentences.,She gave her friend a gift.
Use of Modal Perfect for Deduction,Use modal + have + past participle to express past deduction.,He must have left early.
Use of Pluralia Tantum,Nouns that only exist in plural form.,Her scissors are on the table.
Use of Past Modals for Regret,"Use 'should have', 'could have' to express past regrets.",I should have called you.
Use of Numeric Quantifiers with Count and Non-count Nouns,Using numeric words appropriately with countable and uncountable nouns.,I have three books. I need some water.
Use of 'That' as a Determiner,That' used to indicate a specific thing far from speaker.,I want that pen over there.
Use of 'Whose' for People and Things,Whose' can indicate possession for both people and things in relative clauses.,The car whose owner is unknown was found.
Use of Passive Infinitive for Instructions,Passive infinitive used in instructions or advice.,The form needs to be signed.
Use of Indirect Requests,Use indirect speech to make polite requests.,He asked if I could help.
Use of Progressive Aspect in Future,Use 'will be + -ing' to describe future ongoing actions.,I will be working at noon.
Use of 'Wish' with Past Perfect,Use 'wish' + past perfect for past regrets.,I wish I had studied harder.
Use of Coordinating and Subordinating Conjunctions,"Connect clauses using coordinating (and, but) and subordinating (because, although).","She sings and dances. Although tired, he continued."
Use of Linkers in Formal Writing,Use appropriate linkers to organize ideas clearly.,"Furthermore, the results were positive."
Use of Emphatic Structures with 'Do',Add 'do' for emphasis in affirmative present or past simple sentences.,I do want to go!
Use of 'Used to' for Past States,Express past habits or states that no longer exist.,She used to live in New York.
Use of 'Although' vs 'Though',Interchangeable in most contexts but 'although' is more formal.,"Although it rained, we went out."
Use of Hypothetical Questions,Questions about unreal or imagined situations.,What would you do if you won?
Use of Gerund as Subject,Gerunds can serve as the subject of a sentence.,Swimming is good exercise.
Use of Ellipsis in Dialogue,Omission of words in speech for brevity or effect.,"""Want to go?"" ""Sure."""
Use of Article with Proper Names,"Generally, no articles before proper names unless with certain geographical features.",Mount Everest is tall. The Netherlands is beautiful.
Use of 'So...that' for Result,Use to show cause and effect.,He was so tired that he fell asleep immediately.
Use of Comparative Adjectives with 'Much',Much' intensifies comparative adjectives.,She is much taller than before.
Use of Negative Tag Questions with 'Nobody',Use positive tags with negatives like 'nobody'.,"Nobody called, did they?"
Use of Predicate Adjectives,Adjectives describing the subject connected with linking verbs.,The sky is blue.
Use of Reduced Relative Clauses,Shorten relative clauses to make sentences concise.,The man standing there is my uncle.
Use of Conditional Sentences without 'If',Use inversion to form conditionals without 'if'.,"Had I known, I would have come."
Use of Present Perfect for Recent Actions,Use present perfect to describe actions that have just occurred.,She has just finished her homework.
Use of Double Possessive,Use double possessives with 'of' and a possessive pronoun for emphasis.,That is a friend of mine.
Use of Participle Adjectives with Prepositions,Some participle adjectives are followed by prepositions.,She is interested in music.
Use of 'Might' and 'Could' for Possibility,"Both modals express possible situations, often interchangeable.",It might rain later.
Use of 'Let' for Permission,Let' is used to give or ask for permission.,Let me help you with that.
Use of Relative Clauses with Prepositional Phrases,The preposition is placed before the relative pronoun in formal writing.,The house in which I live is old.
Use of 'Shall' for Suggestions,"Shall' is used in formal suggestions or offers, especially in questions.",Shall we go for a walk?
Use of 'Must' for Strong Recommendations,Must' expresses strong advice or necessity.,You must wear a helmet when riding.
Use of Concessive Clauses with 'While',While' introduces contrast or concession in clauses.,"While I like coffee, I prefer tea."
Use of Distributive Pronouns,"Pronouns like 'each', 'either', and 'neither' refer to individual items within a group.",Each of the students received a book.
Use of Reflexive Pronouns as Objects,Reflexive pronouns can be used as the object of a verb or preposition.,She looked at herself in the mirror.
Use of Determiners with Uncountable Nouns,"Much', 'a little', and 'some' quantify uncountable nouns.",There isn’t much sugar left.
Use of Comparative Adverbs with 'Far',Far' can be used to intensify comparatives.,He is far better at math than I am.
Use of Passive with Modals,Passive can be combined with modals to express obligation or ability.,The documents must be signed today.
Use of 'Such As' for Examples,Such as' introduces examples within a sentence.,"Many fruits, such as apples and oranges, are healthy."
Use of Reported Speech with Modals,Some modals change form in reported speech.,She said she could come tomorrow.
Use of 'Would Rather' for Preferences,Express preferences between choices.,I would rather eat at home tonight.
Use of Non-finite Clauses,Verb forms used without a subject to shorten sentences.,To win is important.
Use of 'Despite' and 'In Spite Of',Both express contrast or concession.,"Despite the rain, we went out."
Use of 'Between' with Two Items,Between' is used only for two individual items.,The secret is between you and me.
Use of 'Among' with More Than Two Items,Among' refers to relationships involving more than two.,The letter was shared among the team members.
Use of 'Less' with Uncountable Nouns,Less' quantifies uncountable nouns.,There is less milk in the fridge.
Use of Definite Article in Unique Objects,The' is used for unique objects or concepts.,The sun rises in the east.
Use of Progressive Forms with Stative Verbs,Stative verbs usually do not appear in progressive forms.,She loves chocolate. (Not: She is loving chocolate.)
Use of Conditional with 'In Case',Indicates precaution or preparation.,Take an umbrella in case it rains.
Use of Correlative Conjunctions for Emphasis,Paired conjunctions emphasize agreement or contrast.,"Not only is she smart, but she is also kind."
Use of Future Perfect Continuous,Describes the duration of an action up to a point in the future.,"By next week, I will have been working here for a year."
Use of Modal Verbs for Deduction in Present,Use modals like 'must' or 'can't' to make present deductions.,He must be at work now.
Use of 'As Soon As' in Time Clauses,Indicates something happens immediately after another event.,I will call you as soon as I arrive.
Use of Split Infinitives for Emphasis,Adverbs split the 'to' and verb for emphasis.,She decided to boldly go where no one had gone before.
Use of Emphatic Negative Statements,Use negative contractions with emphasis words.,I definitely don’t agree with that.
Use of 'Too' and 'Enough' in Sentences,Too' indicates excess; 'enough' indicates sufficiency.,The coffee is too hot. She is tall enough to reach.
Use of 'No' as a Determiner,No' negates the existence or presence of something.,There are no tickets left.
Use of Subjunctive to Express Necessity,Use subjunctive form after verbs expressing importance or suggestion.,It is important that he be here on time.
Use of Comparative Adjectives with 'By Far',By far' intensifies the comparative adjective.,She is by far the best player on the team.
Use of Simple Future with 'Will' and 'Shall',"Will' and 'shall' indicate future actions, 'shall' is more formal or used in offers.",I will help you. Shall I open the window?
Use of Pronoun Agreement in Sentences,Pronouns must agree with their antecedents in number and gender.,Every student must bring his or her book.
Use of Double Object Verbs,Verbs taking two objects: indirect and direct.,She gave me the keys.
Use of Question Tags with Pronoun Agreement,Tags agree with the subject in person and number.,"She’s coming, isn’t she?"
Use of Compound Nouns,Nouns made of two or more words acting as one.,A swimming pool is fun in summer.
Use of Indicative and Subjunctive Moods,Indicative for statements of fact; subjunctive for wishes or hypotheticals.,"If I were you, I would go."
Use of Ordering Adjectives,Multiple adjectives follow a specific order before a noun.,She bought a beautiful small Italian car.
Use of Modal Verbs to Express Permission,"May', 'can', and 'might' express permission of varying formality.",You may leave early today.
Use of 'Used to' for Past Habits and States,Describe habits or states that were true in the past but not now.,I used to play the piano.
Use of Negative Prefixes with Adjectives and Nouns,"Prefixes like 'un-', 'in-', 'dis-' make words negative.",His behavior was unacceptable.
Use of 'So...That' Clauses,Show cause and result emphasis.,He was so angry that he yelled loudly.
Use of 'Either' and 'Neither',Either' refers to one or the other; 'Neither' means not one nor the other.,You can choose either option. Neither answer is correct.
Use of 'While' as a Time and Contrast Conjunction,Can indicate simultaneous actions or contrast.,"While I was studying, the phone rang. While he likes tea, he prefers coffee."
Use of Reported Suggestions,Use verbs like 'suggest' followed by that + subject + verb.,She suggested that we leave early.
Use of Passive Voice for Emphasis,Emphasize the action or recipient rather than the doer.,The cake was eaten by the children.
Use of Comparatives with 'As Well As',"As well as' links two items, but comparison usually goes with 'than'.",She sings as well as dances.
Use of Future Continuous Passive,Show ongoing future passive actions.,The house will be being painted next week.
Use of Reflexive Pronouns with Prepositions,Reflexive pronouns can follow prepositions referring back to the subject.,He did it by himself.
Use of 'Neither...Nor' with Multiple Subjects,Connects two negative alternatives in a sentence.,Neither Tom nor Jerry was present.
Use of Verbs Followed by Both Gerund and Infinitive,Some verbs accept both gerund and infinitive with different meanings.,I stopped smoking. / I stopped to smoke.
Use of 'Would' in Polite Offers and Requests,Use 'would' to soften offers and requests.,Would you like some coffee?
Use of Modal Verbs with Perfect Infinitive,Express past possibilities or obligations.,She must have forgotten the meeting.
Use of 'Had Better' for Advice,Use 'had better' to give strong advice or warnings.,You had better finish your work now.
Use of 'Each' as a Pronoun and Determiner,Can refer to individual members of a group.,Each is responsible for their own work.
Use of Indirect Speech with Questions and Commands,Change question and command forms into indirect speech structures.,She asked if I was coming. He told me to wait.
Use of Compound Adjectives with Numbers,Numbers combined with nouns or adjectives form compound adjectives before nouns.,She has a two-year-old son.
Use of Future Intention with 'Be Going To',Express planned or intended future actions.,I am going to visit my grandmother next week.
Use of Prepositions with Expressions of Time,Specific prepositions are used with times and dates.,The meeting is at 3 PM.
Use of 'May' for Permission and Possibility,May' expresses polite permission or possibility.,You may start the exam now.
Use of Contractions in Informal Speech,"Contractions shorten words, common in speaking and informal writing.",I’m going to the store.
Use of Genitive 's' for Time Expressions,Use 's' to indicate time or duration.,A week's holiday is needed.
Use of Question Words with Prepositions,Questions can end with prepositions in informal English.,Who are you talking to?
Use of Comparative Forms with 'Far More',Far more' increases the degree of comparatives.,That is far more interesting.
Use of 'Used To' in Negative and Question Forms,Structure 'didn't use to' for negatives and 'did' for questions.,She didn't use to like tea. Did you use to play here?
Use of Time Clauses with 'Before' and 'After',Indicate order of events using 'before' or 'after'.,Finish your homework before you go out.
Use of Non-defining Relative Clauses with Commas,"Provide extra information, set off by commas.","My brother, who lives abroad, is visiting."
Use of Emphatic 'Do' in Affirmative Sentences,Use 'do' to emphasize affirmative statements.,I do want to see that movie.
Use of 'Rather Than' for Preference,Express preference for one thing over another.,I'd rather stay home than go out.
Use of Infinitive of Result,Infinitives show the result of an action or event.,He grew up to become a doctor.
Use of 'Whether' for Alternatives,Use 'whether' to introduce choices or alternatives.,I don’t know whether to go or stay.
Use of 'So That' for Purpose with Modal Verbs,Purpose clauses with modals to express ability or permission.,Speak loudly so that everyone can hear.
Use of Verbs Followed by Both Gerund and Infinitive with No Meaning Change,Some verbs accept both forms without change in meaning.,She likes to swim. / She likes swimming.
Use of 'No One' as Indefinite Pronoun,No one' means not a single person.,No one was at the party.
